datetime,Open,High,Low,Close,Volume
2022-12-23,16815.50000,16960.00000,16690.00000,16776.40000,264553.42000
2022-12-24,16776.30000,16859.90000,16774.40000,16828.90000,82410.79000
2022-12-25,16829.00000,16850.00000,16700.00000,16824.40000,144075.84300
2022-12-26,16824.50000,16936.80000,16781.10000,16912.90000,148128.69900
2022-12-27,16912.80000,16968.00000,16580.00000,16698.20000,262828.56400
2022-12-28,16698.20000,16778.30000,16455.60000,16539.00000,344649.85800
2022-12-29,16538.90000,16659.00000,16485.10000,16630.30000,208591.53100
2022-12-30,16630.30000,16666.60000,16320.00000,16601.20000,295630.49000
2022-12-31,16601.20000,16640.00000,16461.80000,16537.60000,134462.15600
2023-01-01,16537.50000,16618.80000,16488.00000,16610.30000,105502.96500
2023-01-02,16610.40000,16799.00000,16541.20000,16666.00000,215161.17600
2023-01-03,16665.90000,16774.00000,16600.30000,16667.20000,203070.20500
2023-01-04,16667.30000,16984.60000,16645.70000,16842.10000,349747.83800
2023-01-05,16842.20000,16872.80000,16740.40000,16823.80000,176369.34700
2023-01-06,16823.80000,17030.00000,16664.80000,16943.80000,316973.62900
2023-01-07,16943.90000,16973.60000,16900.10000,16936.50000,77973.10500
2023-01-08,16936.50000,17181.10000,16905.00000,17124.70000,157717.31800
2023-01-09,17124.60000,17387.80000,17098.20000,17169.70000,400277.80900
2023-01-10,17169.60000,17485.40000,17140.40000,17428.80000,297320.37100
2023-01-11,17428.80000,18013.20000,17306.40000,17935.70000,386277.10600
2023-01-12,17935.60000,19120.00000,17902.40000,18838.00000,1040334.76000
2023-01-13,18838.10000,19997.80000,18711.00000,19924.20000,806807.83200
2023-01-14,19924.30000,21544.00000,19882.60000,20962.80000,1010666.68300
2023-01-15,20962.80000,21073.80000,20556.00000,20882.70000,428486.55900
2023-01-16,20882.70000,21498.00000,20606.60000,21188.30000,666148.20100
2023-01-17,21188.20000,21640.00000,20827.80000,21130.90000,547390.59300
2023-01-18,21130.80000,21672.00000,20386.00000,20680.00000,813785.51700
2023-01-19,20680.10000,21183.90000,20659.90000,21068.30000,374733.61700
2023-01-20,21068.30000,22750.00000,20856.40000,22661.10000,723645.20000
2023-01-21,22661.00000,23390.00000,22422.00000,22781.90000,764681.10000
2023-01-22,22781.80000,23080.20000,22287.00000,22704.60000,482529.81100
2023-01-23,22704.70000,23193.10000,22500.00000,22913.10000,525802.84000
2023-01-24,22913.30000,23158.70000,22450.00000,22627.40000,505615.81600
2023-01-25,22627.50000,23837.40000,22310.50000,23060.60000,692786.60700
2023-01-26,23060.60000,23278.70000,22843.80000,23001.90000,427760.78600
2023-01-27,23001.90000,23500.00000,22516.60000,23068.00000,509920.30700
2023-01-28,23068.10000,23185.00000,22870.80000,23015.90000,186400.94300
2023-01-29,23016.00000,23962.70000,22961.50000,23740.30000,562028.23100
2023-01-30,23740.20000,23804.60000,22484.20000,22819.90000,572537.40700
2023-01-31,22819.90000,23330.00000,22715.30000,23119.40000,403726.96600
2023-02-01,23119.50000,23852.40000,22747.00000,23730.00000,571429.71100
2023-02-02,23730.10000,24281.40000,23365.00000,23493.10000,615740.33800
2023-02-03,23493.00000,23719.90000,23201.00000,23424.70000,470831.43800
2023-02-04,23424.70000,23591.40000,23250.00000,23322.60000,197118.39300
2023-02-05,23322.60000,23436.00000,22741.00000,22929.20000,356665.03400
2023-02-06,22929.30000,23159.40000,22600.00000,22757.70000,417160.14300
2023-02-07,22757.80000,23368.60000,22742.40000,23234.10000,447273.49400
2023-02-08,23234.10000,23450.00000,22662.90000,22955.90000,383465.48100
